lam,esp_10mev,esp_50mev,esp_100mev,esp_190mev,edp_10mev,edp_50mev,edp_100mev,edp_190mev
32.8,-3.9726774708593005,0.2053175618296513,2.8383913175718294,4.27025666827115,4.935794966868193,21.808314934981613,30.114444879754632,34.76989885110042
32.9,-3.9726837479571877,0.20544030733590282,2.838611348594438,4.270590705987573,4.935795394978875,21.808292771779815,30.11439366256891,34.76980728608442
33.0,-3.9726899470929156,0.20556280746317196,2.83883092784428,4.270924134841846,4.9357958170013845,21.808270649542397,30.11434254336309,34.769715880619295
33.1,-3.9726960685293804,0.20568500389657934,2.8390499514953924,4.271256793746706,4.9357962329077525,21.808248578949986,30.114291552894528,34.769624678885485
33.2,-3.9727021125358224,0.2058068396572335,2.839268318094711,4.271588525279154,4.935796642701955,21.80822657051731,30.1142407062677,34.76953372408893
33.3,-3.972708079394521,0.20592825911991544,2.8394859286049066,4.271919175746398,4.935797046409798,21.808204634413226,30.11419003384383,34.76944305856055
33.4,-3.972713969399584,0.2060492080387779,2.8397026864568877,4.272248595250074,4.935797444230332,21.80818278039029,30.114139554722165,34.769352723197194
33.5,-3.9727197828502265,0.20616963357293633,2.839918497569712,4.272576637744318,4.935797835995937,21.808161018218808,30.11408929128464,34.76926275832506
33.6,-3.9727255200638907,0.20628948429090693,2.840133270391201,4.272903161078602,4.935798221977431,21.808139357288667,30.11403926622199,34.76917320290364
33.7,-3.9727311813513912,0.20640871020979734,2.84034691592936,4.273228027053841,4.935798602142371,21.808117806669802,30.113989499838603,34.76908409503753
33.8,-3.9727367670468774,0.20652726278171898,2.840559347756892,4.273551101446914,4.935798976610745,21.808096375214976,30.11394001154099,34.76899547139583
33.9,-3.972742277487558,0.2066450949246927,2.8407704820725592,4.273872254052826,4.9357993453428675,21.808075071545616,30.113890822196005,34.768907367730506
34.0,-3.972747713017943,0.20676216102651312,2.8409802376725284,4.274191358709086,4.935799708416742,21.808053904152622,30.113841949480747,34.76881981882718
34.1,-3.972753073973918,0.20687841696726875,2.8411885360093,4.274508293326073,4.935800065934146,21.8080328808576,30.113793412483396,34.76873285834774
34.2,-3.9727583607305457,0.20699382008508208,2.841395301152259,4.274822939881659,4.935800417885752,21.808012009581425,30.113745228831135,34.768646518337896
34.3,-3.972763573626887,0.20710832924259664,2.8416004598547886,4.275135184466857,4.935800764376867,21.807991297785584,30.11369741624722,34.76856083028619
34.4,-3.9727687130568228,0.2072219047554579,2.841803941494688,4.275444917254048,4.935801105434856,21.80797075272368,30.11364999041576,34.768475824469206
34.5,-3.9727737793699704,0.20733450847272777,2.8420056781452367,4.275752032544378,4.935801441158926,21.807950381354644,30.113602967546914,34.768391529813556
34.6,-3.9727787729387765,0.20744610372449543,2.842205604532238,4.276056428734611,4.935801771526651,21.807930190440622,30.113556363043962,34.76830797432324
34.7,-3.9727836941729127,0.20755665530588155,2.8424036579923655,4.276358008306943,4.935802096630514,21.807910186298884,30.11351019136024,34.7682251846163
34.8,-3.9727885434409425,0.20766612953369593,2.842599778568853,4.2766566778533965,4.935802416519819,21.8078903751182,30.11346446672871,34.768143186535724
34.9,-3.9727933211312614,0.20777449420142047,2.8427939089267804,4.276952348036073,4.935802731235965,21.807870762889266,30.113419202108002,34.76806200456463
35.0,-3.972798027634618,0.20788171857773952,2.842985994352556,4.277244933579431,4.935803040820524,21.807851355077826,30.113374411056384,34.76798166205845
35.1,-3.972802663343932,0.20798777340167704,2.8431759827626872,4.277534353245299,4.935803345350852,21.807832157087873,30.113330105129453,34.76790218176442
35.2,-3.9728072286830445,0.2080926308554465,2.843363824659645,4.277820529800465,4.935803644830316,21.807813174021696,30.11328629627734,34.76782358430376
35.3,-3.972811724022285,0.2081962646133691,2.84354947313494,4.278103390024921,4.935803939337351,21.807794410605656,30.113242995566996,34.76774589018868
