lam,d0_10,d0_50,d0_100,d0_190,d2_10,d2_50,d2_100,d2_190,eps_10,eps_50,eps_100,eps_190
2.0,59.956400209432424,53.236450101130394,43.287573176039196,26.748043521004902,3.6527999827350324,9.240906673745899,3.6318614151044817,-10.545431643060063,-0.4859632627052722,-0.487263271930556,-0.35119436804635756,-0.20981801496702301
2.1,59.95640022413317,54.11629213990012,45.101380786559545,29.762424840556736,3.652799982906759,9.315844098334559,3.786316850641329,-11.243757134298459,-0.4893971985924855,-0.49377144649297683,-0.35888208415785516,-0.2212936147632763
2.2,59.956400237212215,54.88277324176118,46.690019050324906,32.48636006919482,3.6527999824909925,9.382384997110362,3.945874582392292,-11.644271150695031,-0.4914401212415353,-0.49728433828484914,-0.36275551559269914,-0.22735039575474597
2.3,59.95640024885931,55.55520676774256,48.088465229514576,34.941170333309884,3.6527999826937885,9.442983775896481,4.1105154142335705,-11.803015321132616,-0.49219661519009456,-0.4980639751403635,-0.3632282705120715,-0.22879153769147145
2.4,59.95640025838362,56.14896057792083,49.32563299197759,37.151865593404715,3.652799982751814,9.499318391174738,4.279562911980149,-11.773594481346604,-0.4917613596719185,-0.4963445649136939,-0.3606655652056981,-0.2263497950528134
2.5,59.95640026563755,56.67637406568633,50.42542834957254,39.143853562315755,3.6527999828344044,9.552531249614018,4.452027028936803,-11.602144829887239,-0.4902207841754038,-0.4923361682282371,-0.35538708129258856,-0.22064494137473817
2.6,59.956400270687155,57.147440781981416,51.40765908640099,40.941272961030215,3.652799982938934,9.60339424831027,4.626809002863939,-11.32620337914325,-0.48765432604012154,-0.48622789213913686,-0.34767167333338406,-0.21218300362618758
2.7,59.956400273685254,57.57032090343217,52.28879129064502,42.566240577045974,3.6527999830660534,9.652422592246571,4.80281856714622,-10.975340983570032,-0.4841354044851585,-0.4781906338674127,-0.3377625458270253,-0.2013711229921239
2.8,59.95640027345908,57.95172931891368,53.08256743969513,44.03859916243144,3.652799983213421,9.699953752829307,4.979036989662656,-10.572408666226318,-0.4797321886768165,-0.46837942566966084,-0.3258722351833366,-0.18853584896187175
2.9,59.95640027098986,58.297232085034516,53.800506774059286,45.375929639372735,3.652799983444786,9.746202533392681,5.154547363000772,-10.134856309138144,-0.47450821378409375,-0.4569354363352874,-0.31218711300928637,-0.17394002367631695
3.0,59.9564002657977,58.611474812478555,54.45230874777392,46.59369380138187,3.6527999835635656,9.791299631588956,5.328545566270891,-9.675906811100173,-0.4685228829673455,-0.4439876810304304,-0.2968713220235736,-0.1577968071355656
3.1,59.956400258152186,58.89836007479596,55.046178041465595,47.70543298670779,3.6527999837675553,9.835318733848379,5.500340216711703,-9.20552395183701,-0.4618318826591749,-0.4296544852480696,-0.28007015125722645,-0.14028078355967735
3.2,59.95640024779438,59.16118631350044,55.589086661322476,48.72298221058233,3.652799984076402,9.87829556786066,5.669346647751481,-8.731178876601453,-0.4544875305345671,-0.4140447409402801,-0.26191289825463754,-0.12153656152406968
3.3,59.956400233948706,59.402757430201845,56.086985791630546,49.65667864832456,3.652799984266178,9.920241303305085,5.835077985016083,-8.25844384413502,-0.44653907091111095,-0.397258987659472,-0.24251528164148572,-0.10168537265876114
3.4,59.956400218212906,59.6254698856817,56.544977566212374,50.51555432266327,3.652799984498596,9.96115195603748,5.997135120563382,-7.791446642591445,-0.43803292844872205,-0.37939034579407793,-0.22198146838333954,-0.08083012533543302
3.5,59.95640019899099,59.83138239997176,56.96745483986656,51.307508939126286,3.65279998479682,10.001014941021177,6.155196591347784,-7.333216260694584,-0.4290129280035801,-0.36052532377378366,-0.20040577458787298,-0.05905928368114135
3.6,59.956400177284216,60.02227211049897,57.358215374156124,52.03946211815791,3.6527999850904123,10.039813604219326,6.309008945598794,-6.885945149692948,-0.41952048713246737,-0.3407445183725565,-0.1778740926119062,-0.0364498591730841
3.7,59.956400151997215,60.199680095923924,57.720555494244735,52.71748595095677,3.652799985419677,10.077530310305784,6.458377870265941,-6.451188158051249,-0.4095947860588036,-0.3201232236864832,-0.154465089251541,-0.013069731472775048
3.8,59.9564001250379,60.36494851246404,58.0573472354373,53.34691960531274,3.652799985772341,10.114148495969264,6.603160184228364,-6.030013619171099,-0.39927291873449483,-0.29873196157328114,-0.1302512125302284,0.01102053975781425
3.9,59.95640009569049,60.51925105215375,58.37110214763667,53.93246797536394,3.6527999861867344,10.149653989764825,6.7432567201026945,-5.623118331052719,-0.3885900281530645,-0.2766369448640904,-0.10529953892998495,0.03576629120794493
4.0,59.95640006256592,60.663618069824764,58.66402429133209,54.47828639406946,3.652799986550359,10.184035807411558,6.878606049271802,-5.230915293119039,-0.37757942815102685,-0.253900482345655,-0.07967248701768133,0.061117630697486804
4.1,59.956400028661704,60.79895741918712,58.93805443535533,54.98805329478045,3.6527999870150802,10.217286582817875,7.00917899640839,-4.85360083321083,-0.36627271384272303,-0.23058133379055756,-0.05342841959636784,0.08702854272236692
4.2,59.95639999110901,60.92607180619662,59.19490705668277,55.465032518134926,3.6527999874305968,10.249402734275764,7.1349738477647175,-4.491206139708694,-0.3546998619431381,-0.2067350211758598,-0.026622151827025042,0.11345617454875782
4.3,59.956399950837074,61.0456733291826,59.43610145055842,55.912126777336525,3.652799987910812,10.28038446128383,7.256012200836954,-4.143636907323018,-0.3428893226860487,-0.18241410256613844,0.0006946189748136325,0.14036026375648017
4.4,59.9563999098039,61.158395700977515,59.662987975656364,56.33192357160255,3.6527999889477885,10.310235618527456,7.372335360830146,-3.810703940387549,-0.33086810412780737,-0.15766841308258434,0.028472949964947255,0.16770267831905353
4.5,59.95639986507029,61.2648045704781,59.87677027979484,56.726734669151206,3.6527999889542535,10.338963493816111,7.484001189445014,-3.4921468718939805,-0.3186618491367583,-0.13254527612108477,0.056666346515805585,0.19544704745927605
4.6,59.95639981919426,61.36540628676292,60.07852419862053,57.098630121542044,3.6527999895218244,10.366578593270383,7.591081465715644,-3.1876524389953134,-0.30629490846187873,-0.10708969320762599,0.08523049979182369,0.22355846187450248
4.7,59.956399770938624,61.46065535080828,60.269213865907496,57.44946760693453,3.6527999901161516,10.393094324972097,7.693659485154528,-2.896868833078174,-0.293790405872449,-0.081344507314262,0.11412306911968507,0.2520032363855059
4.8,59.95639972141441,61.550960793711994,60.44970550782587,57.780917803457925,3.6527999904544286,10.41852672627631,7.791828065799037,-2.619416757828458,-0.28117030055662884,-0.05535055070674385,0.14330349489152164,0.2807487173875994
4.9,59.95639966927217,61.63669164206242,60.62077928170838,58.094486365071155,3.6527999914091627,10.442894180026459,7.885687808825415,-2.3548980568465403,-0.2684554449983807,-0.029146775657815975,0.17273284087527013,0.30976312979787063
5.0,59.956399616357935,61.71818162892031,60.783139477886266,58.39153300122182,3.6527999922908374,10.466217111935594,7.975345552086745,-2.1029024894980974,-0.2556656379852604,-0.0027703687816212044,0.20237366287143116,0.33901545760100815
5.1,59.95639956211171,61.795733256193905,60.93742332821729,58.67328806920411,3.6527999933060378,10.48851773613771,8.060913087761202,-1.8630129369063069,-0.24281967567115498,0.023743144637507534,0.2321898956143025,0.36847534877410865
5.2,59.956399505281595,61.86962131871211,61.08420864195963,58.94086704005457,3.6527999936041637,10.509819784181245,8.142506003962493,-1.6348095150282704,-0.22993539822164652,0.05035980967624754,0.26214675960321954,0.3981130439708887
5.3,59.95639944816126,61.94009596888364,61.22402044254963,59.195283136004534,3.6527999944053406,10.530148286202426,8.220242737489391,-1.4178726982467524,-0.21702973511005588,0.07704715782475378,0.2922106803696192,0.4278993212482448
5.4,59.95639938908408,62.007385381082806,61.35733674499119,59.4374583883105,3.6527999952116814,10.54952932066367,8.29424367758184,-1.2117858368093226,-0.20411874575754524,0.10377413512612599,0.32234922405604727,0.45780545882152746
5.5,59.95639933032191,62.07169808993508,61.48459361091368,59.6682333428319,3.6527999960669777,10.567989824131727,8.364630454008722,-1.0161370193944226,-0.19121765954517922,0.13051103458214666,0.3525310407253368,0.4878032077779548
5.6,59.956399268928514,62.13322502975988,61.606189568361614,59.888375584643356,3.6527999977335748,10.585557403607206,8.431525299717048,-0.8305205273355993,-0.17834091307419245,0.15722943601142958,0.3827258177924938,0.517864775972565
5.7,59.95639920908852,62.19214133991246,61.72248950347051,60.098587254621116,3.6527999980455705,10.602260138792214,8.49505045538295,-0.6545380002556869,-0.16550218405732467,0.18390215386301278,0.41290424337174797,0.5479628222496097
5.8,59.95639914690566,62.24860793883518,61.83382807274503,60.29951167245083,3.6528000054284955,10.618126520531613,8.555327846580232,-0.4877990653725914,-0.15271442905994925,0.21050317998039378,0.44303796639406534,0.5780704496969895
5.9,59.95639908399411,62.302772931508294,61.9405127277311,60.49173920423079,3.6528000000821863,10.633185038111753,8.612478223714977,-0.32992255177240987,-0.1399899020819878,0.2370076609969977,0.4730995916218399,0.6081612288256838
6.0,59.95639901937044,62.354772842639335,62.04282637945463,60.675812452759864,3.652799998209507,10.647464501757575,8.666621544752902,-0.18053595991616964,-0.1273402058076682,0.2633918197450315,0.5030626209682694,0.6382091773877919
6.1,59.95639895686297,62.40473372020533,62.14102976731908,60.85223087072228,3.6528000023692457,10.660993581589866,8.717876097357617,-0.039276538011070526,-0.11477630354449223,0.28963294580135773,0.5329014626387423,0.6681887965652165
6.2,59.95639889304204,62.45277210483451,62.235363553419106,61.02145485538566,3.6528000041151656,10.673800725039387,8.766358267335693,0.09420854788889622,-0.1023085469011619,0.3157093589327814,0.5625914141022574,0.6980750858764109
6.3,59.95639882995643,62.49899590869303,62.32605019859741,61.183909406362204,3.6528000077418534,10.685914232831664,8.812182586986294,0.2202624465106084,-0.08994670955542028,0.3416003622051826,0.5921086349686913,0.7278435497329033
6.4,59.956398764930455,62.54350518645737,62.41329562422624,61.33998738107312,3.652800013538667,10.697362062632154,8.855461352712666,0.33921830313262347,-0.07770000601953037,0.3672862211474826,0.6214301450548393,0.7574702245752941
6.5,59.956398700319404,62.58639283723393,62.49729070683855,61.49005241313753,3.6528000172792834,10.708171755858656,8.896304459075727,0.45139924034641027,-0.06557711463379974,0.3927481353756139,0.6505338147066242,0.7869316992046281
6.6,59.9563986359477,62.627745223293296,62.578212607524286,61.634441519040365,3.652800009050468,10.718370368747797,8.934819251706696,0.5571183692316588,-0.05358619932859339,0.41796821210846363,0.6793983564896164,0.8162051357065867
6.7,59.95639857203423,62.66764273198522,62.65622596921104,61.7734674404507,3.6528000100539297,10.72798467624378,8.971110837961522,0.656679408035015,-0.04173494414076414,0.4429294174617758,0.7080032946961137,0.84526827138921
6.8,59.956398508695095,62.70616027927101,62.73148399063437,61.90742074740325,3.652800011845306,10.737040703047416,9.005281302128505,0.7503758466748702,-0.030030551616720844,0.4676155893127412,0.7363289939319836,0.8740994685522077
6.9,59.95639844491791,62.74336776315043,62.80412939252782,62.03657173067067,3.6528000134978225,10.74556394430791,9.037430059737298,0.8384916162652661,-0.018479775492330455,0.49201139076528644,0.7643566292614272,0.9026777151769813
7.0,59.95639838186713,62.77933047573354,62.87429529077836,62.16117210912505,3.6528000143998796,10.753579283069287,9.067653720566371,0.9213011014304846,-0.007088936611505208,0.5161022918655714,0.7920681829541794,0.9309826464817592
7.1,59.95639832068569,62.8141094724916,62.94210598208647,62.28145656863835,3.652800016714699,10.761110980686798,9.096046076878684,0.9990693116755509,0.004136058423991557,0.53987454605769,0.8194464352761278,0.9589945604593336
