lam,e0_true = 0.01,e0_true = 0.11,e0_true = -0.09,not renorm
2.0,0.8884541206074151,1.0675912034149744,0.709317037799856,0
2.1,0.8750902985597685,1.0503196152291745,0.6998609818903625,0
2.2,0.8661171878909564,1.0388431328645065,0.6933912429174065,0
2.3,0.8618973343387194,1.0335228109486065,0.6902718577288325,0
2.4,0.8629634164729941,1.0349502384628841,0.6909765944831042,0
2.5,0.8700893954500143,1.0440304676676204,0.6961483232324084,0
2.6,0.8844006248865859,1.0621144673289573,0.7066867824442147,0
2.7,0.9075519525275217,1.0912165805403848,0.7238873245146588,0
2.8,0.9420295478830911,1.134385608943385,0.7496734868227971,0
2.9,0.9916905434846901,1.1963703642331174,0.7870107227362627,0
3.0,1.0627924004792926,1.2848909538209554,0.8406938471376296,0
3.1,1.1661227045658071,1.4132706289480494,0.9189747801835649,0
3.2,1.3218986811766336,1.606491613016008,1.0373057493372593,0
3.3,1.5727999150099565,1.917304912549627,1.2282949174702862,0
3.4,2.0269069509527737,2.479308286267742,1.5745056156378052,0
3.5,3.060180222294413,3.7572394720551525,2.363120972533673,0
3.6,7.494807838062768,9.239732250888578,5.749883425236958,0
3.7,-11.158116026518034,-13.81737595949401,-8.498856093542058,0
3.8,-2.8932849476340277,-3.600217856017094,-2.186352039250961,0
3.9,-1.5667743444763462,-1.959853506977291,-1.1736951819754013,0
4.0,-1.0292174659961502,-1.294767541991179,-0.7636673900011214,0
4.1,-0.7405526911415454,-0.9373654452683532,-0.5437399370147377,0
4.2,-0.5618908859415206,-0.7159602850763981,-0.4078214868066431,0
4.3,-0.44136818932893046,-0.5664408852012274,-0.31629549345663344,0
4.4,-0.3552253515029785,-0.45943731712877606,-0.2510133858771809,0
4.5,-0.29104796870301297,-0.37960341542354364,-0.20249252198248227,0
4.6,-0.24172149312000796,-0.3181443145607588,-0.1652986716792571,0
4.7,-0.20287881098653812,-0.2696613054513962,-0.13609631652168003,0
4.8,-0.1716930313843217,-0.2306595643913272,-0.11272649837731621,0
4.9,-0.14625516938013625,-0.1987788933751857,-0.09373144538508678,0
5.0,-0.12523083621143793,-0.17236935106083895,-0.07809232136203692,0
5.1,-0.10766016538720297,-0.1502439417888615,-0.06507638898554442,0
5.2,-0.09283579783960316,-0.13152779515541552,-0.054143800523790815,0
5.3,-0.0802255766116913,-0.11556261145992419,-0.0448885417634584,0
5.4,-0.06942194397096038,-0.10184411407351154,-0.03699977386840921,0
5.5,-0.06010787394593852,-0.08997994088171486,-0.030235807010162163,0
5.6,-0.052033365955102315,-0.07966058996383642,-0.024406141946368216,0
5.7,-0.04499887109861777,-0.07063893440627421,-0.01935880779096133,0
5.8,-0.038843382780482126,-0.06271550217695614,-0.014971263384008112,0
5.9,-0.033435724556304544,-0.055727708278000575,-0.011143740834608508,0
6.0,-0.02866809235015101,-0.04954187230523417,-0.007794312395067844,0
6.1,-0.024451182697226514,-0.044047197327126024,-0.004855168067327008,0
6.2,-0.02071048409893683,-0.03915118578227645,-0.0022697824155972087,0
6.3,-0.0173834188741481,-0.03477610638879711,9.268640500907866e-06,0
6.4,-0.014417113230296302,-0.03085623779214146,0.0020220113315488598,0
6.5,-0.011766644237087228,-0.027335701476307282,0.003802413002132825,0
6.6,-0.00939364848590189,-0.024166741680792296,0.005379444708988518,0
6.7,-0.007265210848518784,-0.021308351261990727,0.006777929564953158,0
6.8,-0.005352963204860861,-0.01872515766301796,0.008019231253296236,0
6.9,-0.003632357932670942,-0.016386524248515395,0.009121808383173509,0
7.0,-0.0020820718279441963,-0.014265813129567472,0.01010166947367908,0
7.1,-0.0006835164532550834,-0.012339779470124067,0.010972746563613899,0
7.2,0.0005795664832961936,-0.010588070856806972,0.01174720382339936,0
7.3,0.0017214450688101614,-0.008992807054619483,0.012435697192239805,0
7.4,0.002754671166963964,-0.007538240018865218,0.013047582352793147,0
7.5,0.003690325997522821,-0.00621045104888354,0.013591103043929182,0
7.6,0.0045382110984876455,-0.004997113315416946,0.014073535512392236,0
7.7,0.00530702225781271,-0.0038872771114145128,0.014501321627039933,0
7.8,0.00600449119049472,-0.0028711941225470945,0.014880176503536534,0
7.9,0.006637507271548082,-0.0019401664897672256,0.015215181032863387,0
8.0,0.007212223378940055,-0.0010864157507148233,0.015510862508594932,0
8.1,0.007734145463935406,-0.00030297171114701586,0.015771262639017826,0
8.2,0.008208210317551536,0.0004164239957401412,0.01599999663936293,0
8.3,0.008638852686968325,0.0010774011877275479,0.016200304186209102,0
8.4,0.009030063514311341,0.0016850334181194196,0.016375093610503263,0
8.5,0.009385440619327825,0.0022439008991596643,0.016526980339495987,0
8.6,0.009708232824189407,0.0027581453118013795,0.016658320336577437,0
8.7,0.010001378596361172,0.0032315178137704197,0.016771239378951926,0
8.8,0.01026753990138329,0.003667421112898408,0.016867658689868174,0
8.9,0.010509131934723418,0.004068946430103166,0.01694931743934367,0
9.0,0.010728349301229054,0.004438906055768904,0.017017792546689205,0
9.1,0.01092718914917738,0.0047798621204418685,0.017074516177912894,0
9.2,0.011107471578115265,0.005094151988209598,0.017120791168020934,0
9.3,0.01127085784181572,0.005383910888025731,0.01715780479560571,0
