lam,elab,d0,d0_true
52.0,1.0,0.18306342749339566,0.1798
52.0,2.0,0.48812540289755757,0.48041
52.0,3.0,0.8475211717798211,0.83633
52.0,4.0,1.2359475241671498,1.22276
52.0,5.0,1.6392825079454056,1.62562
52.0,6.0,2.048661537148159,2.0359
52.0,7.0,2.4581855062657048,2.44747
52.0,8.0,2.8637996568693618,2.85604
52.0,9.0,3.262669031528839,3.25854
52.0,10.0,3.6528001434058117,3.65277
52.0,11.0,4.0327978894664245,4.03162
52.0,12.0,4.401702366992891,4.41047
52.0,13.0,4.7588755546391805,4.76584
52.0,14.0,5.10392047309264,5.12121
52.0,15.0,5.436622243856287,5.45133
52.0,16.0,5.756904337647603,5.78146
52.0,17.0,6.064795613240354,6.08585
52.0,18.0,6.360405178520005,6.39025
52.0,19.0,6.643903021488356,6.66921
52.0,20.0,6.915504961850096,6.94817
52.0,21.0,7.175460880421472,7.20247
52.0,22.0,7.42404546372417,7.45676
52.0,23.0,7.661550897830736,7.68743
52.0,24.0,7.8882810860002985,7.9181
52.0,25.0,8.104547066506614,8.13178
52.0,26.0,8.310663381971766,8.33455
52.0,27.0,8.50694520726718,8.5216
52.0,28.0,8.693706085061587,8.70865
52.0,29.0,8.871256150036736,8.87579
52.0,30.0,9.03990074736116,9.04294
52.0,31.0,9.199939370037296,9.1785
52.0,32.0,9.351664854604092,9.31407
52.0,33.0,9.495362786384241,9.44964
52.0,34.0,9.631311074730815,9.58521
52.0,35.0,9.759779666121728,9.72078
52.0,36.0,9.881030368872342,9.81701
52.0,37.0,9.99531676801192,9.91325
52.0,38.0,10.10288421273312,10.00949
52.0,39.0,10.20396986196404,10.10573
52.0,40.0,10.298802776178805,10.20197
52.0,41.0,10.387604045653545,10.26529
52.0,42.0,10.470586947116683,10.32861
52.0,43.0,10.547957122135523,10.39193
52.0,44.0,10.619912771782886,10.45525
52.0,45.0,10.686644863074637,10.51858
52.0,46.0,10.748337343490732,10.55442
