lam,elab,d0,d0_true
52.0,1.0,-0.11867608712187115,-0.10827
52.0,2.0,-0.31198671497426744,-0.28554
52.0,3.0,-0.5355077803387696,-0.4912
52.0,4.0,-0.7737796231061022,-0.71092
52.0,5.0,-1.0188827886199507,-0.93726
52.0,6.0,-1.266284011860749,-1.16591
52.0,7.0,-1.513246802479318,-1.39426
52.0,8.0,-1.7580762812141795,-1.62064
52.0,9.0,-1.999715671128539,-1.84404
52.0,10.0,-2.23751393860979,-2.06382
52.0,11.0,-2.4710848231716023,-2.27749
52.0,12.0,-2.7002179523715113,-2.49116
52.0,13.0,-2.924821118721904,-2.69628
52.0,14.0,-3.144881917059978,-2.9014
52.0,15.0,-3.36044177880117,-3.09802
52.0,16.0,-3.571578142498619,-3.29464
52.0,17.0,-3.7783920749610838,-3.48312
52.0,18.0,-3.9809996070021505,-3.67161
52.0,19.0,-4.179525637659776,-3.85247
52.0,20.0,-4.374099636134665,-4.03333
52.0,21.0,-4.564852614847584,-4.20711
52.0,22.0,-4.7519150088104265,-4.38089
52.0,23.0,-4.935415205511305,-4.54813
52.0,24.0,-5.115478544038052,-4.71537
52.0,25.0,-5.292226653784865,-4.87804
52.0,26.0,-5.46577703926153,-5.03782
52.0,27.0,-5.63624284314313,-5.19351
52.0,28.0,-5.803732738010551,-5.34921
52.0,29.0,-5.968350910433793,-5.49982
52.0,30.0,-6.130197110638023,-5.65043
52.0,31.0,-6.289366748003204,-5.7932
52.0,32.0,-6.445951017804415,-5.93597
52.0,33.0,-6.600037048411599,-6.07873
52.0,34.0,-6.751708060998581,-6.2215
52.0,35.0,-6.90104353591949,-6.36427
52.0,36.0,-7.048119381487864,-6.49752
52.0,37.0,-7.193008102073622,-6.63077
52.0,38.0,-7.335778963318447,-6.76402
52.0,39.0,-7.476498152933411,-6.89727
52.0,40.0,-7.615228936040171,-7.03052
52.0,41.0,-7.752031804388422,-7.15599
52.0,42.0,-7.886964619059087,-7.28146
52.0,43.0,-8.020082746467407,-7.40692
52.0,44.0,-8.151439187630528,-7.53239
52.0,45.0,-8.281084700772686,-7.65786
52.0,46.0,-8.409067917419655,-7.7769
52.0,47.0,-8.535435452185258,-7.89595
52.0,48.0,-8.66023200649347,-8.015
52.0,49.0,-8.783500466496049,-8.13404
52.0,50.0,-8.90528199546245,-8.25309
52.0,51.0,-9.025616120921486,-8.3668
52.0,52.0,-9.144540816834052,-8.48051
52.0,53.0,-9.26209258106996,-8.59422
52.0,54.0,-9.378306508458016,-8.70793
52.0,55.0,-9.493216359664089,-8.82164
52.0,56.0,-9.606854626145028,-8.93087
