lam,elab,d0,d0_true
52.0,57.0,-9.719252591412982,-9.04011
52.0,58.0,-9.830440388832645,-9.14934
52.0,59.0,-9.940447056163633,-9.25858
52.0,60.0,-10.049300587045243,-9.36781
52.0,61.0,-10.157027979612874,-9.47327
52.0,62.0,-10.263655282421247,-9.57872
52.0,63.0,-10.369207637840432,-9.68418
52.0,64.0,-10.47370932307951,-9.78963
52.0,65.0,-10.577183788983387,-9.89509
52.0,66.0,-10.679653696739084,-9.99733
52.0,67.0,-10.781140952618506,-10.09956
52.0,68.0,-10.881666740876978,-10.2018
52.0,69.0,-10.981251554919247,-10.30404
52.0,70.0,-11.079915226836622,-10.40627
52.0,71.0,-11.177676955413292,-10.50575
52.0,72.0,-11.27455533269183,-10.60522
52.0,73.0,-11.370568369187234,-10.70469
52.0,74.0,-11.46573351781744,-10.80417
52.0,75.0,-11.560067696644195,-10.90364
52.0,76.0,-11.653587310474542,-11.00073
52.0,77.0,-11.746308271399965,-11.09781
52.0,78.0,-11.838246018329967,-11.1949
52.0,79.0,-11.929415535578146,-11.29198
52.0,80.0,-12.019831370554138,-11.38906
52.0,81.0,-12.109507650611619,-11.48406
52.0,82.0,-12.19845809909892,-11.57906
52.0,83.0,-12.286696050657357,-11.67406
52.0,84.0,-12.374234465807175,-11.76906
52.0,85.0,-12.461085944860987,-11.86406
52.0,86.0,-12.54726274120058,-11.95723
52.0,87.0,-12.632776773951315,-12.0504
52.0,88.0,-12.717639640086187,-12.14357
52.0,89.0,-12.80186262598975,-12.23674
52.0,90.0,-12.885456718526177,-12.32991
52.0,91.0,-12.968432615526071,-12.42145
52.0,92.0,-13.05080073605325,-12.513
52.0,93.0,-13.13257122991497,-12.60454
52.0,94.0,-13.213753986997864,-12.69609
52.0,95.0,-13.294358646114372,-12.78763
52.0,96.0,-13.374394603491673,-12.87773
52.0,97.0,-13.45387102090559,-12.96782
52.0,98.0,-13.532796833476738,-13.05792
52.0,99.0,-13.611180757145998,-13.14801
52.0,100.0,-13.689031295844492,-13.23811
52.0,101.0,-13.766356748372948,-13.32671
52.0,102.0,-13.843165215004438,-13.4145
52.0,103.0,-13.919464603823728,-13.50258
52.0,104.0,-13.995262636815365,-13.59089
52.0,105.0,-14.070566855712753,-13.67914
52.0,106.0,-14.145384627618903,-13.76728
52.0,107.0,-14.219723150409788,-13.85537
52.0,108.0,-14.293589457929928,-13.94367
52.0,109.0,-14.366990424990064,-14.03221
52.0,110.0,-14.439932772175425,-14.12006
52.0,111.0,-14.512423070473632,-14.20642
52.0,112.0,-14.58446774573004,-14.29209
52.0,113.0,-14.65607308293701,-14.378
52.0,114.0,-14.727245230367572,-14.46411
52.0,115.0,-14.7979902035565,-14.55017
52.0,116.0,-14.868313889137738,-14.63613
52.0,117.0,-14.938222048543937,-14.72206
52.0,118.0,-15.007720321573524,-14.80816
52.0,119.0,-15.07681422983154,-14.89447
52.0,120.0,-15.145509180048998,-14.98018
52.0,121.0,-15.213810467286379,-15.06462
52.0,122.0,-15.28172327802563,-15.14846
52.0,123.0,-15.349252693155815,-15.23251
52.0,124.0,-15.416403690856086,-15.31674
52.0,125.0,-15.483181149380325,-15.40092
52.0,126.0,-15.549589849749275,-15.48501
52.0,127.0,-15.615634478349696,-15.56908
52.0,128.0,-15.681319629448883,-15.65329
52.0,129.0,-15.746649807625092,-15.73769
52.0,130.0,-15.811629430118094,-15.82157
52.0,131.0,-15.876262829102759,-15.90431
52.0,132.0,-15.940554253888894,-15.98653
52.0,133.0,-16.00450787305024,-16.06893
52.0,134.0,-16.06812777648485,-16.15148
52.0,135.0,-16.13141797740993,-16.234
52.0,136.0,-16.194382414293866,-16.31644
52.0,137.0,-16.25702495272773,-16.39885
52.0,138.0,-16.319349387234777,-16.4814
52.0,139.0,-16.381359443032085,-16.56412
52.0,140.0,-16.443058777727632,-16.64636
52.0,141.0,-16.504450982972198,-16.72757
52.0,142.0,-16.565539586058534,-16.8083
52.0,143.0,-16.62632805147241,-16.8892
52.0,144.0,-16.686819782396697,-16.97024
52.0,145.0,-16.747018122170793,-17.05124
52.0,146.0,-16.806926355706295,-17.13218
52.0,147.0,-16.86654771086107,-17.21308
52.0,148.0,-16.925885359772735,-17.29412
52.0,149.0,-16.98494242015312,-17.37531
52.0,150.0,-17.043721956545454,-17.45606
52.0,151.0,-17.10222698154471,-17.53584
52.0,152.0,-17.160460456990624,-17.61518
52.0,153.0,-17.218425295083,-17.69468
52.0,154.0,-17.276124359573675,-17.77431
52.0,155.0,-17.33356046678087,-17.85391
52.0,156.0,-17.39073638668273,-17.93344
52.0,157.0,-17.44765484393746,-18.01294
52.0,158.0,-17.504318518882123,-18.09248
52.0,159.0,-17.560730048504208,-18.17213
52.0,160.0,-17.61689202738611,-18.2517
52.0,161.0,-17.672807008624247,-18.3302
52.0,162.0,-17.728477504722992,-18.40815
52.0,163.0,-17.78390598846448,-18.48631
52.0,164.0,-17.839094893755256,-18.56461
52.0,165.0,-17.89404661645016,-18.64288
52.0,166.0,-17.948763515154205,-18.72107
52.0,167.0,-18.00324791200368,-18.79924
52.0,168.0,-18.057502093428006,-18.87753
52.0,169.0,-18.111528310883312,-18.95596
52.0,170.0,-18.165328781586638,-19.03399
52.0,171.0,-18.21890568920614,-19.11113
52.0,172.0,-18.272261184551667,-19.18787
52.0,173.0,-18.32539738624068,-19.26475
52.0,174.0,-18.37831638134832,-19.34175
52.0,175.0,-18.431020226040943,-19.41872
52.0,176.0,-18.48351094619386,-19.49563
52.0,177.0,-18.535790537993567,-19.57251
52.0,178.0,-18.587860968524783,-19.64951
52.0,179.0,-18.63972417634323,-19.72665
52.0,180.0,-18.691382072034045,-19.80339
52.0,181.0,-18.74283653875659,-19.87928
52.0,182.0,-18.794089432775664,-19.95476
52.0,183.0,-18.84514258398085,-20.03039
52.0,184.0,-18.8959977963913,-20.10613
52.0,185.0,-18.946656848734452,-20.18184
52.0,186.0,-18.997121494508274,-20.2575
52.0,187.0,-19.047393463290838,-20.33313
52.0,188.0,-19.097474460360438,-20.40887
52.0,189.0,-19.14736616756382,-20.48475
52.0,190.0,-19.197070243670236,-20.56023
52.0,191.0,-19.24658832479917,-20.63488
52.0,192.0,-19.295922024838212,-20.70913
52.0,193.0,-19.345072935851135,-20.78352
52.0,194.0,-19.394042628476658,-20.85802
52.0,195.0,-19.442832652318,-20.93248
52.0,196.0,-19.491444536323566,-21.00691
52.0,197.0,-19.539879789159034,-21.08132
52.0,198.0,-19.58813989957095,-21.1558
52.0,199.0,-19.636226336742308,-21.23036
52.0,200.0,-19.684140550639764,-21.30469
