lam,elab,d0,d0_true,d2,d2_true,e0,e0_true
52.0,1,-33.26170610333178,147.7475,-0.0051187466941110355,-0.00517,0.12073443508841293,0.10515
52.0,2,-44.59791929345157,136.46342,-0.025382716063692082,-0.02572,0.28766735247109076,0.25296
52.0,3,127.80635936672304,128.78354,-0.06211225566321256,-0.06303,0.45380267821531556,0.40198
52.0,4,122.0750027377812,122.92236,-0.1143444288589053,-0.11609,0.6088055317452798,0.54247
52.0,5,117.47600949632599,118.17818,-0.18055687014367316,-0.1833,0.750090363199541,0.67168
52.0,6,113.63906439591165,114.19291,-0.2591444190434068,-0.26298,0.8776300925210906,0.7893
52.0,7,110.34944635997937,110.75719,-0.34858602032253583,-0.35353,0.992306050906546,0.89593
52.0,8,107.47134417505455,107.73755,-0.4475014839840596,-0.45351,1.0952864137701002,0.99246
52.0,9,104.91342972139144,105.04364,-0.5546639947020302,-0.56163,1.1877750146690145,1.0799
52.0,10,102.6113999999768,102.61142,-0.6689943218605552,-0.67678,1.2709098283308848,1.1592
52.0,11,100.51832184383402,100.3939,-0.7895479230604934,-0.79796,1.345725968575512,1.23123
52.0,12,98.59893041855071,98.35559,-0.9154999719781018,-0.92433,1.4131472634728903,1.29679
52.0,13,96.82608437485065,96.46906,-1.0461305701784562,-1.05513,1.4739903250413657,1.3566
52.0,14,95.17846782033232,94.71267,-1.1808111013920226,-1.18973,1.5289736603672879,1.41126
52.0,15,93.63904800545369,93.06906,-1.3189920644415545,-1.32755,1.5787283254602893,1.46134
52.0,16,92.19400942154152,91.52411,-1.4601924260708623,-1.4681,1.6238085043695323,1.50731
52.0,17,90.83199839785433,90.06619,-1.6039904013327722,-1.61095,1.6647013098821584,1.54961
52.0,18,89.5435759336699,88.68557,-1.7500155163337499,-1.75571,1.7018355497819693,1.58862
52.0,19,88.32081369790741,87.37409,-1.8979417949053334,-1.90207,1.735589418521048,1.62465
52.0,20,87.1569906343782,86.1248,-2.047481916495135,-2.04971,1.7662971735100523,1.65801
52.0,21,86.0463616459397,84.93174,-2.198382206302835,-2.1984,1.7942548954289352,1.68896
52.0,22,84.9839788204863,83.78978,-2.3504183354166184,-2.3479,1.819725443608424,1.71773
52.0,23,83.96555155729521,82.69445,-2.5033916251035175,-2.49801,1.8429427141089565,1.74452
52.0,24,82.98733590198047,81.64185,-2.6571258648320266,-2.64856,1.8641152989141854,1.76953
52.0,25,82.04604609505158,80.62855,-2.8114645672122607,-2.79939,1.8834296334429432,1.7929
52.0,26,81.1387832126655,79.65152,-2.966268594846968,-2.95036,1.901052707785493,1.8148
52.0,27,80.26297710072696,78.70805,-3.1214141042399826,-3.10134,1.9171344064770806,1.83534
52.0,28,79.41633875007317,77.79576,-3.2767907603267403,-3.25224,1.931809531484319,1.85466
52.0,29,78.5968209476407,76.91248,-3.432300182676999,-3.40295,1.9451995556051875,1.87286
52.0,30,77.80258554323993,76.05629,-3.5878545901612653,-3.55339,1.957414145224268,1.89003
52.0,31,77.03197604613514,75.22543,-3.7433756161620475,-3.70348,1.968552485869958,1.90626
52.0,32,76.28349454725192,74.41833,-3.898793270729605,-3.85315,1.9787044391922368,1.92163
52.0,33,75.5557821761982,73.63355,-4.054045029384206,-4.00235,1.9879515545061004,1.93621
52.0,34,74.84760246508384,72.86978,-4.209075031579383,-4.15103,1.9963679557464566,1.95007
52.0,35,74.15782711759202,72.12583,-4.363833374169745,-4.29913,2.004021120630659,1.96326
52.0,36,73.48542377918383,71.40061,-4.5182754874160995,-4.44661,2.0109725667098557,1.97585
52.0,37,72.82944548139089,70.6931,-4.672361582825759,-4.59344,2.0172784567006175,1.98787
52.0,38,72.18902149342424,70.00239,-4.826056163741924,-4.73959,2.0229901338737086,1.99937
52.0,39,71.56334936272188,69.32761,-4.97932759068922,-4.88502,2.0281545963267207,2.01041
52.0,40,70.95168796429684,68.66798,-5.132147694748264,-5.02973,2.0328149180743336,2.021
52.0,41,70.35335140977588,68.02278,-5.284491433103849,-5.17367,2.0370106237078924,2.03119
52.0,42,69.76770369206653,67.39131,-5.436336581582598,-5.31683,2.040778022138408,2.04101
52.0,43,69.19415396185238,66.77295,-5.5876634599491,-5.4592,2.044150504795688,2.05049
52.0,44,68.63215234882819,66.16712,-5.738454685906982,-5.60076,2.047158812057128,2.05965
