elab,d0_true
1.000,-0.18745
2.000,-0.48182
3.000,-0.81022
4.000,-1.14886
5.000,-1.48664
6.000,-1.81792
7.000,-2.13982
8.000,-2.45097
9.000,-2.75083
10.000,-3.03938
11.000,-3.31686
12.000,-3.58366
13.000,-3.84030
14.000,-4.08729
15.000,-4.32519
16.000,-4.55452
17.000,-4.77581
18.000,-4.98955
19.000,-5.19623
20.000,-5.39627
21.000,-5.59011
22.000,-5.77812
23.000,-5.96068
24.000,-6.13813
25.000,-6.31078
26.000,-6.47893
27.000,-6.64285
28.000,-6.80281
29.000,-6.95904
30.000,-7.11176
31.000,-7.26118
32.000,-7.40750
33.000,-7.55090
34.000,-7.69154
35.000,-7.82959
36.000,-7.96519
37.000,-8.09848
38.000,-8.22959
39.000,-8.35863
40.000,-8.48573
41.000,-8.61099
42.000,-8.73450
43.000,-8.85636
44.000,-8.97666
45.000,-9.09548
46.000,-9.21290
47.000,-9.32898
48.000,-9.44380
49.000,-9.55742
50.000,-9.66989
51.000,-9.78128
52.000,-9.89164
53.000,-10.00101
54.000,-10.10945
55.000,-10.21699
56.000,-10.32369
57.000,-10.42957
58.000,-10.53468
59.000,-10.63904
60.000,-10.74269
61.000,-10.84567
62.000,-10.94800
63.000,-11.04970
64.000,-11.15080
65.000,-11.25133
66.000,-11.35131
67.000,-11.45077
68.000,-11.54970
69.000,-11.64815
70.000,-11.74613
71.000,-11.84365
72.000,-11.94072
73.000,-12.03737
74.000,-12.13361
75.000,-12.22944
76.000,-12.32489
77.000,-12.41996
78.000,-12.51467
79.000,-12.60902
80.000,-12.70303
81.000,-12.79670
82.000,-12.89004
83.000,-12.98306
84.000,-13.07576
85.000,-13.16816
86.000,-13.26026
87.000,-13.35206
88.000,-13.44358
89.000,-13.53481
90.000,-13.62577
91.000,-13.71645
92.000,-13.80686
93.000,-13.89701
94.000,-13.98689
95.000,-14.07652
96.000,-14.16589
97.000,-14.25500
98.000,-14.34387
99.000,-14.43249
100.000,-14.52087
101.000,-14.60900
102.000,-14.69690
103.000,-14.78455
104.000,-14.87197
105.000,-14.95915
106.000,-15.04609
107.000,-15.13280
108.000,-15.21928
109.000,-15.30553
110.000,-15.39155
111.000,-15.47734
112.000,-15.56290
113.000,-15.64823
114.000,-15.73333
115.000,-15.81821
116.000,-15.90286
117.000,-15.98728
118.000,-16.07147
119.000,-16.15544
120.000,-16.23919
121.000,-16.32270
122.000,-16.40599
123.000,-16.48905
124.000,-16.57189
125.000,-16.65450
126.000,-16.73688
127.000,-16.81904
128.000,-16.90097
129.000,-16.98267
130.000,-17.06414
131.000,-17.14539
132.000,-17.22641
133.000,-17.30720
134.000,-17.38776
135.000,-17.46809
136.000,-17.54819
137.000,-17.62807
138.000,-17.70771
139.000,-17.78712
140.000,-17.86630
141.000,-17.94525
142.000,-18.02397
143.000,-18.10245
144.000,-18.18070
145.000,-18.25872
146.000,-18.33651
147.000,-18.41406
148.000,-18.49138
149.000,-18.56846
150.000,-18.64531
151.000,-18.72192
152.000,-18.79830
153.000,-18.87444
154.000,-18.95035
155.000,-19.02602
156.000,-19.10145
157.000,-19.17664
158.000,-19.25160
159.000,-19.32632
160.000,-19.40080
161.000,-19.47504
162.000,-19.54904
163.000,-19.62281
164.000,-19.69633
165.000,-19.76962
166.000,-19.84266
167.000,-19.91547
168.000,-19.98803
169.000,-20.06036
170.000,-20.13244
171.000,-20.20429
172.000,-20.27589
173.000,-20.34726
174.000,-20.41838
175.000,-20.48926
176.000,-20.55990
177.000,-20.63030
178.000,-20.70046
179.000,-20.77038
180.000,-20.84005
181.000,-20.90949
182.000,-20.97868
183.000,-21.04764
184.000,-21.11635
185.000,-21.18482
186.000,-21.25305
187.000,-21.32104
188.000,-21.38879
189.000,-21.45630
190.000,-21.52357
191.000,-21.59059
192.000,-21.65738
193.000,-21.72393
194.000,-21.79024
195.000,-21.85631
196.000,-21.92214
197.000,-21.98773
198.000,-22.05308
199.000,-22.11820
200.000,-22.18308
