elab,d0_true
0.01,14.55097
0.06,32.05053
0.11,39.68483
0.16,44.47832
0.21,47.86313
0.26,50.39112
0.31,52.36708
0.36,53.95692
0.41,55.26575
0.46,56.36219
0.51,57.29374
0.56,58.0943
0.61,58.78889
0.66,59.39636
0.71,59.93126
0.76,60.40502
0.81,60.82671
0.86,61.20369
0.91,61.54197
0.96,61.8465
