lam,d0_10,d0_50,d0_100,d0_190,d2_10,d2_50,d2_100,d2_190,eps_10,eps_50,eps_100,eps_190
2.0,18.303312857433887,10.250313854124544,-1.0882745121384703,-14.663425389202178,-0.4976794146631609,-7.605762619567923,-15.984442499827637,-24.730874351426593,4.879279184699362,13.05386190119674,17.884968501471892,23.105320399909143
2.1,21.350685577760952,13.258461279514997,1.8454457418245829,-12.359754137238177,-0.5192653307565657,-7.700928783174221,-16.193896016761425,-26.187753943687746,4.899654748015373,12.650334502396959,17.24180875230047,23.012606418302184
2.2,24.723191831859552,16.37047842775781,4.833936278763369,-9.742571661688674,-0.5435801985976907,-7.783133148624606,-16.331229562335775,-27.176890014536987,4.911593686747804,12.214774788474239,16.52881753043544,22.48343607506365
2.3,28.46203019503039,19.585020512673058,7.862541982748313,-6.981710340345473,-0.5707695082032236,-7.851120276016705,-16.40887869985691,-27.808675108917917,4.910235809337973,11.746793579687905,15.765606133058643,21.67751965782199
2.4,32.61008058589803,22.900700133499008,10.923553866108906,-4.163181653133458,-0.6007957051187007,-7.903405127647708,-16.435812029085675,-28.171318879472285,4.889330624077048,11.24524256657399,14.964558412561553,20.698166954391368
2.5,37.20814700312075,26.315485805469883,14.012979548060128,-1.327693827586458,-0.6332971222284867,-7.93839879974305,-16.41864925269753,-28.33270815909202,4.841066933785889,10.708719410741287,14.133531034106333,19.611697973166326
2.6,42.28883898281938,29.826231353396643,17.128698840043377,1.5071086367182271,-0.6674100067267115,-7.954533465486147,-16.362425985710374,-28.343718514315658,4.7561336954396625,10.135952111890587,13.277584334488331,18.460670565958004
2.7,47.86772743164365,33.42830120040663,20.26939986254517,4.33484339341281,-0.7015905718745776,-7.950395513168332,-16.271132332022404,-28.241945976087244,4.624239154645741,9.526108966756603,12.400107972938901,17.272442232592976
2.8,53.932303538373404,37.11528373395982,23.433958473417643,7.154377131310229,-0.7335246837642505,-7.924867068817298,-16.14810023423532,-28.055074994493715,4.43534030465749,8.87905546661103,11.503562699418632,16.06463422044291
2.9,60.43095057252584,40.87880072419638,26.62107374423577,9.966828076909131,-0.7602601932310046,-7.877269155065751,-15.9962855253206,-27.80358612497048,4.181696057744197,8.195562789031207,10.589973574803478,14.848621932892186
3.0,67.2661673661018,44.70842852455239,29.829055726616712,12.774097146627874,-0.7786794919328397,-7.807494164790894,-15.818473326895745,-27.502801191827796,3.8604494138124874,7.477461622473592,9.661257927420051,13.631780240704451
3.1,74.29715823856577,48.59174769047663,33.05570820508384,15.57816497832362,-0.7862790353165228,-7.716111618936631,-15.617424782442683,-27.16437686263219,3.475850796425238,6.727729154554551,8.719439579269249,12.418940454700865
3.2,81.35466925911521,52.51453219357582,36.298274910766544,18.380770412210573,-0.7819716314835226,-7.604430275114903,-15.395976503979687,-26.797376245333027,3.0398966544053705,5.9504961844502935,7.766781443448011,11.21334317104131
3.3,88.26542411976868,56.46107836137818,39.553431781438356,21.183277851824183,-0.766485321396883,-7.474502379068423,-15.157100151860117,-26.409030765478253,2.570626298507936,5.150965500042551,6.805856800961553,10.017264566448256
3.4,94.87802733884396,60.41465874173895,42.81731527065747,23.986637297999383,-0.7421112662796282,-7.329062347278728,-14.903927434257332,-26.005279016103703,2.0885454435137043,4.335241231465418,5.83957261647442,8.8324281527493
3.5,101.08129701447578,64.35807008394589,46.08558022922507,26.79138918783805,-0.711954846471695,-7.1714015162033915,-14.639744957630853,-25.59114601193859,1.612699174984913,3.5100801590708963,4.871154422908156,7.660273494791405
3.6,106.81048200430354,68.27423106950957,49.353482143941,29.597690426541075,-0.6791068793101587,-7.0051908206790126,-14.367963362963192,-25.171008084245805,1.1579084912701192,2.682587295697345,3.904100465405522,6.5021281557727155
3.7,112.04283057083349,72.14677767585144,52.6159785477368,32.40535012932499,-0.6460795691021951,-6.834271847965248,-14.092065682934166,-24.74877537143117,0.7337709391919759,1.8598865564090465,2.9421121526514704,5.35931325437345
3.8,116.78734503111944,75.96060425814689,55.86784390195711,35.21386957792924,-0.6146001845666125,-6.662441420110249,-13.81554052406425,-24.328014510097635,0.3450901015004001,1.048800663406239,1.9890078238295776,4.233202937191643
3.9,121.07344525253193,79.70230675132979,59.10379168202742,38.02248376300865,-0.5856660884013392,-6.493254551966313,-13.541806227690408,-23.912027675304323,0.0069810096737922,0.255571717910059,1.0486269497227598,3.1252516193431443
4.0,124.94137786967477,83.36049892186495,62.31859710444333,40.83020317384683,-0.55971785489197,-6.3298656715368855,-13.27413237182013,-23.50389970289838,0.3236850756749181,0.5143540744159198,0.12473181920575384,2.03699868671117
4.1,128.4353307913634,86.92599002181966,65.50721410529304,43.635855009604754,-0.5368268331374412,-6.174920003030259,-13.015564710515415,-23.10652200930542,0.607615191884454,1.2564650425990336,0.7790866777337775,0.970057645310708
4.2,131.59908261550956,90.3918288898687,68.66488087721689,46.438123141293545,-0.516848414830128,-6.0304982199803865,-12.76885888197696,-22.722599944564774,0.8619709168687132,1.9672449482075418,1.6594934477683212,0.0739050882969462
4.3,134.4735839713648,93.75323262789165,71.78720943038967,49.23558617203726,-0.4995297001501032,-5.898109890274721,-12.536427025425985,-22.354648750758052,1.0900863247396189,2.6441644669772133,2.5134793208953825,1.0931977808914883
4.4,-42.90416206667109,97.0074259514468,74.87025611683448,52.026752939655275,-0.4845776020916749,-5.778726111139451,-12.320299981423384,-22.00498223011576,1.2951608816822857,3.285617709332996,3.3384140006502636,2.086134254534968
4.5,-40.5014249992234,100.15342008715565,77.91057165344817,54.81009483545729,-0.47169817716222806,-5.672839408071759,-12.122106200131249,-21.675697408348757,1.4801253405961865,3.8908207936438246,4.132080539020791,3.0510655895932985
4.6,-38.2896281550978,103.19175863647524,80.90523070348866,57.584074396841125,-0.4606170850252693,-5.5805390537595905,-11.94306703383988,-21.368657815308868,1.6475903259280245,4.459689043754822,4.892691549874204,3.9864107465822354
4.7,-36.24400965832305,106.12425360706266,83.85184237163251,60.347169768242814,-0.45108855978421,-5.501591671753894,-11.784006892851536,-21.085477440582455,1.7998418342677223,4.992706936627251,5.618888628969626,4.890684655796355
4.8,-34.34319611408894,108.95372930091646,86.74854393297228,63.09789480248816,-0.44289783531478105,-5.435519490035816,-11.645375888191277,-20.82750692555478,1.9388610105526272,5.4908015163067185,6.309727359701914,5.762522733718863
4.9,-32.56876310602499,111.68378611389846,89.59398071470875,65.83481477359067,-0.43586011322734997,-5.38167122598325,-11.52728209854089,-20.595823112189457,2.0663546936195045,5.95522645368193,6.964650820432623,6.60070115337745
5.0,-30.904820462832543,114.318591302123,92.38727529820628,68.55655787171021,-0.4298179049733058,-5.339282883789861,-11.429530456226473,-20.391222678451378,2.1837891098382896,6.38746080615505,7.583454696245124,7.40415252127484
5.1,-29.33763914441349,116.86269977845586,95.12798916506608,71.26182283213548,-0.4246377824963491,-5.3075275253581315,-11.35166538479441,-20.214220251792025,2.29242269270196,6.789124075286051,8.166246997417216,8.171976891956485
5.2,-27.85532485901499,119.32090509816986,97.81607965085355,73.94938319745862,-0.4202070892140898,-5.285554302740312,-11.293014657350774,-20.065051107208962,2.393336116770873,7.161907422940129,8.713405078263763,8.903448278500933
5.3,-26.447537390609977,121.69811887852765,100.45185467429431,76.61808881539717,-0.416430881655049,-5.272517780776849,-11.252732397497612,-19.943678325640608,2.4874588217643643,7.507519811101536,9.225532216858769,9.598016990848231
5.4,-25.105251721009036,123.99927578895279,103.03592724955608,79.26686522937575,-0.4132292138558415,-5.2675989416626905,-11.229839640807374,-19.849804110146337,2.5755919376881415,7.827647244765296,9.703415530410314,10.255308254715601
5.5,-23.820555937285988,126.22926074210869,105.56917132205983,81.89471162550217,-0.4105347915512239,-5.27001936241458,-11.223261358313392,-19.782884827391847,2.658427836370572,8.123923078780855,10.147986519898293,10.875117635846491
5.6,-22.58648077540476,128.39285482446354,108.05268003292349,84.50069796276658,-0.40829098036331085,-5.279049989809888,-11.23185927687297,-19.742149254543502,2.7365666689493504,8.397907372089483,10.560285099533237,11.457403823861108
5.7,-21.396855979560303,130.4946966746512,110.48772713830087,87.08396184098362,-0.4064501330851619,-5.29401578061464,-11.254460193642936,-19.726619459901308,2.810530285531466,8.651073436925753,10.941427593716618,12.00227932515436
5.8,-20.246189182913827,132.53925633390276,112.8757319966059,89.64370556288908,-0.40497219489161546,-5.314297280341269,-11.289879765916497,-19.735133722476753,2.8807739202107414,8.884799964285973,11.292578885468549,12.509999583757683
5.9,-19.1295635938918,134.53081897414646,115.21822829187983,92.17919373324881,-0.4038235456532348,-5.339330014813196,-11.336941965544929,-19.766370894832075,2.94769598883875,9.10036736245846,11.614928674576126,12.980951001352693
6.0,-18.04255132972953,-43.526523696932955,117.51683647814639,94.68975161888231,-0.40297604197031095,-5.368602384555795,-11.394494527239312,-19.818875629467964,3.01164630306304,9.29895719329828,11.909671644331267,13.4156382701638
6.1,-16.98113974232494,-41.62887618040782,119.77323980110864,97.17476437813495,-0.4024062261688773,-5.401652591661472,-11.461420803525929,-19.891083917728114,3.072932959848475,9.481653815363192,12.177991232418718,13.814671371475303
6.2,-15.941668519380256,-39.77253756923806,121.98916366897637,99.63367716395463,-0.4020946743090442,-5.438064995146033,-11.536648477954975,-19.98134842860476,3.1318281246285813,9.6494475370197,12.421046643196139,14.178752532632085
6.3,-14.920775716117177,-37.95399676541258,124.16635809439121,102.06599601687023,-0.4020254597613398,-5.4774661830916225,-11.619155593796783,-20.087963180938154,3.1885728898991723,9.803238744816362,12.639962714682513,14.508663379771798
6.4,-13.915351184757284,-36.16992547775229,126.30658290610712,104.47128939635672,-0.40218571290501487,-5.519520965330169,-11.70797433787721,-20.209187134886356,3.243381359767209,9.943842604581862,12.835822254342563,14.805252473982026
6.5,-12.9224961277639,-34.417169740622825,128.41159542444987,106.84919015291635,-0.4025652609393118,-5.563928425584097,-11.802192986665846,-20.343266346063192,3.2964440844347047,10.071994038222352,13.009660475443567,15.069423375855589
6.6,-11.939487714215133,-32.692740525364584,130.4831403029655,109.19939771852927,-0.4031563346947803,-5.610418123291704,-11.90095638068621,-20.48845438728624,3.3479309463458966,10.188352761997361,13.16246119394614,15.30212334743389
6.7,-10.963747873889266,-30.993803880724354,132.5229412552301,111.52168028830361,-0.4039533317402331,-5.658746499529079,-12.003465248602001,-20.643030807142566,3.3979935811240494,10.293508236080362,13.295154479888271,15.50433277075518
6.8,-9.99281552713693,-29.31767093085888,134.53269440759158,113.81587677839008,-0.4049526270660079,-5.708693515663074,-12.108974657367817,-20.80531746002455,3.446767400905959,10.387984424024737,13.408615493313762,15.677055337775474
6.9,-9.024321625975409,-27.661787974849915,-43.48593695787534,116.08189837099019,-0.40615242424896936,-5.760059535277084,-12.216791821876006,-20.973692607136037,3.4943732747052976,10.472244297530258,13.503664270916861,15.821309046393054
7.0,-8.055966477777506,-26.023726865908344,-41.53132648101783,118.31972949266388,-0.4075526413263152,-5.812662447607167,-12.326273468020073,-21.146602750323463,3.540918909514179,10.546694049224444,13.581066263727996,15.938118020782335
7.1,-7.085498901400483,-24.401175797934314,-39.601887809143896,120.52942811318083,-0.40915482667193276,-5.86633502271656,-12.436822907725023,-21.32257221856387,3.5864999665892077,10.611686996231795,13.641533457781755,16.028505160477337
7.2,-6.110696829909226,-22.79193058878632,-37.69607685491288,122.7111252952046,-0.41096210102032754,-5.92092248377405,-12.547886953578017,-21.50021057884678,3.6312009394004705,10.667527171810335,13.685725938032872,16.093485611037607
7.3,-5.129349026963493,-21.193886520983305,-35.812393370291424,124.86502396697041,-0.4129791224490132,-5.976280279210102,-12.658952774157793,-21.67821798764017,3.675095812762799,10.71447261268976,13.714253780830205,16.13406103925953
