lam,d0_10,d0_50,d0_100,d0_190
2.0,5.806614445809154,26.619866269428414,31.53614268492315,23.172631781048914
2.1,5.917776632578881,27.873218336672874,33.95002576779722,26.6877297389467
2.2,6.031402638948478,29.131780158325807,36.30426058897612,30.101311207177492
2.3,6.148232888081176,30.408859534752207,38.62201004425693,33.41651703759482
2.4,6.269056811396516,31.717119330744456,40.92411373749204,36.64333760809162
2.5,6.394736758545112,33.06911326475732,43.229500292132805,39.795020174388156
2.6,6.526234241362238,34.477758534100154,45.555597761563185,42.88599026808897
2.7,6.664640492283654,35.95677979046225,47.91869717906629,45.930685134261594
2.8,6.811213584745589,37.5211523888994,50.334250945411696,48.94292286822163
2.9,6.967424940011417,39.187568135432784,52.81709839690329,51.93557791856143
3.0,7.135019006935867,40.97494289820494,55.381613563704505,54.92042518932917
3.1,7.316091406479696,42.904980991224555,58.04176887796699,57.90807085122858
3.2,7.5131931608568845,45.00280403484862,60.81110559589017,60.907921829315406
3.3,7.729472256850012,47.297638555051215,63.70259834670026,63.928166518612606
3.4,7.968869549970321,49.82353112483714,66.7283987475727,66.97575198900653
3.5,8.236395356270755,52.62001299012055,69.89944288202398,70.05635104885542
3.6,8.538528641424211,55.73255349121275,73.22491150228453,73.17431799327747
3.7,8.883807454070961,59.21250373355718,76.71154233867279,76.33263579427417
3.8,9.283726818459405,63.11601938922733,80.36281310818906,79.53286049418273
3.9,9.754148378791173,67.5011640546273,84.17804294774317,82.77507088835436
4.0,10.317596862547436,72.4221011608655,88.15149772217536,86.05783323412031
4.1,11.007167809389875,77.919215136625,92.27162517556697,89.3781915517481
4.2,11.873532527708562,84.00465978373762,96.52057770883098,92.73169386530196
4.3,12.998316890013534,90.64489586054087,100.8741875417022,96.1124632585791
4.4,14.521749255988189,97.74543847722813,105.3025253069326,99.51331979689084
4.5,16.705839232597306,105.1465831380931,109.77109176304339,102.92595529215205
4.6,20.09912020580492,112.63815774603222,114.2425738853188,106.34115792201385
4.7,26.04971265672968,119.99315220093618,118.67897154725776,109.74907845435786
4.8,38.71194221491275,127.00835357822385,123.0438105737341,113.13952503996111
4.9,72.98468616509706,133.53516097915843,127.30413577191487,116.50226999663543
5.0,129.53140378385044,-40.509384443903244,131.43203225904634,119.82735033222633
