lam,d0_10,d0_50,d0_100,d0_190
2.0,-2.302756628516143,-9.35102895682774,-13.894335193626995,-14.752980391651889
2.1,-2.297420836811729,-9.345317742750552,-14.094380004300488,-16.150144754590883
2.2,-2.292579480132161,-9.332862694909435,-14.226067789147564,-17.240253305563648
2.3,-2.2881891271266324,-9.316347738893258,-14.309017812918501,-18.074656785133772
2.4,-2.284207291810684,-9.297565804470398,-14.357321345895445,-18.704047996868827
2.5,-2.28059391266318,-9.277712189884015,-14.381090179496706,-19.17280378813475
2.6,-2.277312034566202,-9.25757861791773,-14.387588285355173,-19.517445642907596
2.7,-2.274328032657466,-9.237682784410708,-14.382043679314883,-19.767013170104462
2.8,-2.2716115791742486,-9.218355604090808,-14.368226274084893,-19.94414665030394
2.9,-2.2691354728314703,-9.19980044290589,-14.348858345815282,-20.066301529544383
3.0,-2.2668754015710824,-9.182133620656696,-14.325906501478126,-20.146855119285945
3.1,-2.2648096801975237,-9.165412275988098,-14.300790045604431,-20.196029797295505
3.2,-2.2629189866826525,-9.149653631142655,-14.274530336295149,-20.221629115648874
3.3,-2.2611861101956805,-9.134848358032512,-14.247858367866005,-20.22961035863571
3.4,-2.259595717451946,-9.12096986997272,-14.221292656533796,-20.224523806983317
3.5,-2.258134140125527,-9.107980781719649,-14.195195908252632,-20.209847297405332
3.6,-2.2567891838265117,-9.09583739106327,-14.169816444908289,-20.188240198281704
3.7,-2.255549957884261,-9.084492772198441,-14.14531862132279,-20.161736062244184
3.8,-2.2544067245196358,-9.073898891915611,-14.12180524667809,-20.131888883969047
3.9,-2.2533507656938907,-9.06400803659992,-14.099334168246846,-20.09988434161179
4.0,-2.252374265841599,-9.054773752890446,-14.077930571424348,-20.06662461500953
4.1,-2.2514702087374703,-9.046151445536799,-14.057596121514715,-20.032793240365574
4.2,-2.2506322868557618,-9.038098734402203,-14.038315766876774,-19.998904849196343
4.3,-2.2498548217210526,-9.030575643232492,-14.020062803483825,-19.965343430474036
4.4,-2.249132693900007,-9.023544672018481,-14.00280264244385,-19.93239185160869
4.5,-2.24846128143304,-9.01697078996983,-13.986495606956717,-19.900254699686492
4.6,-2.247836405645917,-9.010821375529593,-13.971099001184172,-19.869076000841215
4.7,-2.247254283410956,-9.005066122260358,-13.956568631874044,-19.838952998929784
4.8,-2.2467114850443433,-8.999676923967392,-13.942859918134008,-19.809946892171144
4.9,-2.2462048971300597,-8.994627748484746,-13.929928691064983,-19.782091213903545
5.0,-2.245731689652593,-8.989894506708131,-13.917731759914359,-19.755398383246035
5.1,-2.245289286900923,-8.985454921408154,-13.906227302658653,-19.7298648299975
5.2,-2.244875341676436,-8.981288398879427,-13.895375124889116,-19.705475005795464
5.3,-2.244487712398277,-8.977375905419349,-13.885136820268917,-19.682204523137603
5.4,-2.2441244427526272,-8.973699849870085,-13.875475857849503,-19.66002260995361
5.5,-2.2437837435782084,-8.970243972916787,-13.866357615456014,-19.638894025985646
5.6,-2.2434639767199687,-8.966993243454754,-13.857749373756862,-19.61878055529
5.7,-2.2431636406174063,-8.96393376207399,-13.849620282113255,-19.599642164452565
5.8,-2.2428813574235638,-8.961052671529819,-13.841941304632408,-19.58143789691931
5.9,-2.2426158614766902,-8.95833807394975,-13.834685152790014,-19.564126558896827
6.0,-2.242365988968734,-8.955778954452388,-13.827826209432368,-19.547667240599775
6.1,-2.242130668674324,-8.953365110810898,-13.8213404477536,-19.53201970747286
6.2,-2.24190891362064,-8.951087088773521,-13.815205347930073,-19.517144688825255
6.3,-2.241699813593181,-8.948936122648119,-13.809399813383845,-19.503004085651796
6.4,-2.241502528385162,-8.946904080764048,-13.803904088112583,-19.489561114942465
6.5,-2.241316281709329,-8.944983415437303,-13.798699676103896,-19.47678040424013
6.6,-2.241140355700594,-8.943167117082504,-13.793769263539103,-19.464628047398165
6.7,-2.2409740859463083,-8.941448672135541,-13.789096644256398,-19.45307163025664
6.8,-2.240816856988395,-8.939822024472193,-13.784666648758805,-19.442080233177638
6.9,-2.2406680982478986,-8.938281540030014,-13.780465076915327,-19.43162441596268
7.0,-2.240527280328247,-8.936821974362493,-13.776478634408113,-19.421676189542428
7.1,-2.2403939116583502,-8.935438442875752,-13.772694872901704,-19.412208977923473
7.2,-2.240267535441136,-8.934126393517705,-13.769102133855665,-19.403197573152056
7.3,-2.2401477268767844,-8.932881581709236,-13.76568949586606,-19.394618085474253
7.4,-2.240034090633415,-8.931700047324046,-13.762446725399085,-19.386447890406725
7.5,-2.2399262585408817,-8.930578093541,-13.759364230755684,-19.378665574059752
7.6,-2.239823887485914,-8.929512267407468,-13.756433019103659,-19.37125087775488
7.7,-2.2397266574892623,-8.928499341966898,-13.753644656411488,-19.364184642741325
7.8,-2.2396342699474023,-8.92753629981624,-13.750991230106127,-19.357448755622713
7.9,-2.239546446023303,-8.926620317971029,-13.748465314296002,-19.351026094953653
8.0,-2.239462925172287,-8.92574875392678,-13.746059937390198,-19.344900479343753
8.1,-2.2393834637904586,-8.92491913281504,-13.743768551960418,-19.339056617308884
8.2,-2.2393078339744577,-8.924129135561666,-13.741585006696694,-19.333480059033946
8.3,-2.239235822382415,-8.92337658796301,-13.739503520310977,-19.328157150149675
8.4,-2.239167229186983,-8.92265945060324,-13.73751865725946,-19.323074987579208
8.5,-2.23910186711224,-8.921975809542689,-13.735625305151437,-19.318221377472756
8.6,-2.2390395605470537,-8.921323867713584,-13.733818653729733,-19.313584795220468
8.7,-2.2389801447281883,-8.920701936964695,-13.732094175310266,-19.309154347511612
8.8,-2.2389234649871064,-8.920108430702001,-13.73044760657632,-19.30491973639187
8.9,-2.238869376054999,-8.919541857076815,-13.72887493163046,-19.300871225259076
9.0,-2.238817741421067,-8.91900081267712,-13.7273723662154,-19.296999606728658
9.1,-2.2387684327395454,-8.91848397668169,-13.725936343018153,-19.293296172294905
9.2,-2.2387213292814008,-8.917990105440024,-13.724563497978924,-19.28975268371037
9.3,-2.2386763174269793,-8.917518027444443,-13.723250657536363,-19.286361346004053
9.4,-2.238633290196236,-8.917066638663242,-13.721994826735438,-19.283114782058725
9.5,-2.2385921468134886,-8.916634898206821,-13.720793178143891,-19.28000600866803
9.6,-2.238552792303861,-8.91622182430078,-13.71964304151055,-19.277028413995694
9.7,-2.238515137118921,-8.915826490542273,-13.718541894120207,-19.274175736361002
9.8,-2.2384790967891615,-8.91544802241791,-13.717487351790266,-19.271442044277162
9.9,-2.2384445916011773,-8.915085594063259,-13.716477160466118,-19.268821717671617
10.0,-2.2384115462976673,-8.914738425245595,-13.715509188370374,-19.266309430220925
10.1,-2.2383798897984226,-8.914405778553148,-13.714581418670164,-19.263900132734953
10.2,-2.2383495549407164,-8.914086956775348,-13.713691942621997,-19.261589037528903
10.3,-2.238320478237604,-8.913781300460025,-13.712838953164797,-19.25937160372458
10.4,-2.2382925996527647,-8.913488185634275,-13.71202073892515,-19.257243523425068
10.5,-2.2382658623906484,-8.913207021677216,-13.711235678610358,-19.255200708710493
10.6,-2.238240212700776,-8.912937249333497,-13.710482235760404,-19.253239279404976
10.7,-2.2382155996951507,-8.912678338857276,-13.70975895383286,-19.251355551568107
10.8,-2.238191975177798,-8.912429788277493,-13.709064451601584,-19.249546026666472
10.9,-2.2381692934855595,-8.91219112177554,-13.708397418842157,-19.24780738138405
11.0,-2.2381475113393354,-8.911961888167637,-13.707756612291156,-19.246136458031987
11.1,-2.2381265877049836,-8.911741659484218,-13.707140851854042,-19.244530255521347
11.2,-2.238106483663233,-8.911530029639806,-13.706549017051469,-19.24298592086413
11.3,-2.2380871622879273,-8.91132661318689,-13.705980043680897,-19.241500741170054
11.4,-2.238068588532044,-8.911131044148156,-13.70543292068693,-19.24007213610911
11.5,-2.2380507291209195,-8.910942974921468,-13.704906687218807,-19.23869765081085
11.6,-2.238033552452203,-8.910762075252942,-13.70440042986875,-19.237374949174196
11.7,-2.238017028502043,-8.91058803127317,-13.70391328007587,-19.236101807562115
11.8,-2.2380011287371135,-8.910420544592583,-13.703444411687187,-19.23487610885837
11.9,-2.237985826032054,-8.910259331451797,-13.702993038660807,-19.233695836863667
12.0,-2.2379710945919724,-8.910104121923517,-13.702558412909443,-19.232559071010883
12.1,-2.2379569098796566,-8.909954659162269,-13.702139822268963,-19.231463981380276
12.2,-2.2379432485472104,-8.90981069869916,-13.701736588585991,-19.23040882399587
12.3,-2.2379300883717668,-8.909672007778402,-13.701348065918484,-19.22939193638684
12.4,-2.237917408195069,-8.909538364733137,-13.700973638839447,-19.228411733397387
12.5,-2.237905187866618,-8.909409558397888,-13.70061272083933,-19.227466703230615
12.6,-2.237893408190188,-8.909285387555299,-13.700264752820788,-19.226555403712094
12.7,-2.2378820508734734,-8.909165660415017,-13.699929201676964,-19.225676458760283
12.8,-2.23787109848067,-8.909050194122628,-13.699605558954504,-19.224828555051488
12.9,-2.2378605343877878,-8.908938814296803,-13.699293339588564,-19.22401043886769
13.0,-2.237850342740575,-8.90883135459281,-13.698992080710878,-19.22322091311675
13.1,-2.2378405084148154,-8.90872765629086,-13.698701340523604,-19.22245883451463
13.2,-2.2378310169788986,-8.908627567907587,-13.698420697237395,-19.221723110920173
13.3,-2.2378218546585087,-8.908530944829389,-13.698149748065,-19.22101269881383
13.4,-2.2378130083033034,-8.908437648966249,-13.697888108275304,-19.220326600911484
13.5,-2.237804465355441,-8.908347548424679,-13.697635410293787,-19.219663863906185
13.6,-2.237796213819884,-8.908260517198809,-13.69739130285559,-19.219023576329732
13.7,-2.237788242236317,-8.908176434878307,-13.697155450204097,-19.21840486652786
13.8,-2.2377805396526296,-8.908095186372439,-13.696927531330402,-19.217806900742058
13.9,-2.2377730955998465,-8.90801666164889,-13.69670723925752,-19.217228881292364
14.0,-2.2377659000684056,-8.907940755486855,-13.69649428035926,-19.21667004485498
14.1,-2.237758943485742,-8.907867367243306,-13.696288373716545,-19.216129660829715
14.2,-2.237752216695062,-8.907796400631803,-13.696089250509264,-19.215607029792043
14.3,-2.237745710935262,-8.907727763513046,-13.695896653437389,-19.215101482024995
14.4,-2.237739417821908,-8.907661367696473,-13.695710336174768,-19.214612376126578
14.5,-2.2377333293292327,-8.907597128752355,-13.695530062850493,-19.214139097688435
14.6,-2.2377274377730703,-8.907534965833698,-13.695355607555472,-19.213681058041725
14.7,-2.2377217357946955,-8.907474801507412,-13.695186753878852,-19.213237693066727
14.8,-2.2377162163454924,-8.907416561594244,-13.695023294463429,-19.212808462062497
14.9,-2.237710872672434,-8.907360175016969,-13.694865030586058,-19.21239284667334
15.0,-2.2377056983042984,-8.90730557365634,-13.694711771760515,-19.21199034986911
15.1,-2.2377006870385956,-8.907252692214445,-13.694563335358055,-19.21160049497622
15.2,-2.2376958329291674,-8.907201468084939,-13.69441954624784,-19.211222824756838
15.3,-2.237691130274403,-8.907151841229895,-13.694280236457017,-19.210856900533496
15.4,-2.2376865736060765,-8.90710375406281,-13.694145244845435,-19.210502301356865
15.5,-2.2376821576787176,-8.907057151337499,-13.694014416798414,-19.210158623214248
15.6,-2.2376778774595265,-8.907011980042503,-13.693887603933016,-19.209825478276727
15.7,-2.237673728118801,-8.90696818930073,-13.693764663820074,-19.209502494182757
15.8,-2.2376697050208194,-8.90692573027404,-13.693645459720244,-19.20918931335661
15.9,-2.2376658037151866,-8.906884556072605,-13.69352986033047,-19.20888559235941
16.0,-2.2376620199286053,-8.906844621668553,-13.6934177395457,-19.20859100127163
16.1,-2.2376583495570324,-8.90680588381392,-13.693308976229856,-19.208305223104613
16.2,-2.237654788658244,-8.906768300962545,-13.69320345400017,-19.208027953240517
16.3,-2.23765133344474,-8.90673183319574,-13.693101061018382,-19.207758898898575
16.4,-2.2376479802769875,-8.906696442151508,-13.693001689796171,-19.20749777862654
16.5,-2.2376447256570167,-8.906662090957132,-13.69290523700635,-19.20724432181597
16.6,-2.237641566222289,-8.906628744165031,-13.692811603304127,-19.2069982682404
16.7,-2.2376384987398676,-8.906596367691597,-13.692720693158146,-19.206759367614723
16.8,-2.2376355201008833,-8.906564928758904,-13.692632414687015,-19.20652737917527
16.9,-2.237632627315223,-8.906534395839229,-13.69254667950503,-19.20630207127914
17.0,-2.23762981750651,-8.906504738602035,-13.692463402574935,-19.206083221021967
17.1,-2.237627087907282,-8.906475927863598,-13.69238250206707,-19.20587061387334
17.2,-2.237624435854413,-8.906447935538774,-13.692303899225372,-19.205664043328685
17.3,-2.23762185878474,-8.906420734595141,-13.692227518239159,-19.205463310577038
17.4,-2.2376193542308993,-8.906394299009134,-13.692153286120687,-19.205268224184035
17.5,-2.2376169198173432,-8.906368603724292,-13.692081132589637,-19.20507859978872
17.6,-2.2376145532565412,-8.90634362461132,-13.692010989960554,-19.204894259814623
17.7,-2.2376122523453623,-8.906319338430002,-13.691942793037146,-19.204715033193175
17.8,-2.2376100149616054,-8.906295722792771,-13.691876479010448,-19.20454075509982
17.9,-2.2376078390607,-8.906272756130056,-13.69181198736234,-19.20437126670167
18.0,-2.2376057226725545,-8.90625041765702,-13.691749259772442,-19.20420641491633
18.1,-2.2376036638985295,-8.906228687341859,-13.69168824002952,-19.204046052181415
18.2,-2.237601660908566,-8.906207545875523,-13.69162887394713,-19.203890036234075
18.3,-2.2375997119384303,-8.906186974642718,-13.691571109282481,-19.203738229900278
18.4,-2.237597815287078,-8.906166955694248,-13.69151489565931,-19.203590500893082
18.5,-2.2375959693141434,-8.906147471720486,-13.691460184493609,-19.203446721619898
18.6,-2.237594172437525,-8.906128506026125,-13.691406928922895,-19.20330676899782
18.7,-2.2375924231310917,-8.906110042505878,-13.691355083738364,-19.203170524277045
18.8,-2.2375907199224834,-8.906092065621367,-13.691304605320756,-19.203037872871946
18.9,-2.2375890613909935,-8.906074560378897,-13.69125545157741,-19.202908704199043
19.0,-2.23758744616556,-8.906057512308273,-13.691207581883752,-19.202782911522227
19.1,-2.2375858729228395,-8.90604090744248,-13.69116095702564,-19.20266039180439
19.2,-2.237584340385354,-8.90602473229822,-13.691115539145743,-19.202541045565166
19.3,-2.2375828473197235,-8.906008973857285,-13.691071291691227,-19.20242477674495
19.4,-2.237581392534977,-8.905993619548754,-13.691028179362915,-19.202311492574374
19.5,-2.2375799748809237,-8.905978657231861,-13.690986168069061,-19.20220110344938
19.6,-2.237578593246608,-8.90596407517965,-13.690945224878572,-19.20209352281139
19.7,-2.237577246558809,-8.905949862063306,-13.690905317976618,-19.201988667032513
19.8,-2.2375759337806236,-8.905936006937102,-13.690866416624099,-19.201886455305367
19.9,-2.237574653910096,-8.905922499223974,-13.690828491115672,-19.20178680953771
20.0,-2.2375734059789023,-8.905909328701757,-13.690791512741571,-19.201689654250956
20.1,-2.237572189051102,-8.905896485489892,-13.690755453751565,-19.20159491648337
20.2,-2.237571002221926,-8.905883960036737,-13.690720287317616,-19.20150252569663
20.3,-2.2375698446166252,-8.9058717431074,-13.69068598750097,-19.201412413686654
20.4,-2.2375687153893513,-8.905859825772032,-13.690652529218985,-19.20132451449772
20.5,-2.23756761372211,-8.90584819939459,-13.690619888213948,-19.201238764340253
20.6,-2.2375665388237294,-8.905836855622157,-13.690588041022295,-19.201155101511773
20.7,-2.2375654899288753,-8.905825786374509,-13.690556964946527,-19.201073466320985
20.8,-2.237564466297123,-8.905814983834254,-13.690526638026643,-19.20099380101502
20.9,-2.237563467212047,-8.905804440437334,-13.6904970390141,-19.20091604970947
21.0,-2.2375624919803525,-8.905794148863833,-13.690468147345628,-19.20084015832121
